season_week,acc_pred_result_v01_prob1,acc_pred_result_v02_prob1,acc_pred_home_winpct,acc_pred_elo,acc_pred_carm-elo,acc_pred_raptor
0,0.6537931034482759,0.6662068965517242,0.6275862068965518,0.6675862068965517,0.670344827586207,0.6524137931034483
1,0.6537931034482759,0.6662068965517242,0.6275862068965518,0.6675862068965517,0.670344827586207,0.6524137931034483
2,0.6579710144927536,0.6695652173913044,0.6376811594202898,0.6739130434782609,0.6782608695652174,0.6550724637681159
3,0.6661466458658346,0.6708268330733229,0.6443057722308893,0.6770670826833073,0.6770670826833073,0.656786271450858
4,0.6683501683501684,0.6717171717171717,0.6498316498316499,0.6717171717171717,0.6734006734006734,0.6464646464646465
5,0.6703499079189686,0.6703499079189686,0.6500920810313076,0.6721915285451197,0.6703499079189686,0.6445672191528545
6,0.6558044806517311,0.6578411405295316,0.6496945010183299,0.6578411405295316,0.659877800407332,0.6272912423625254
7,0.6447963800904978,0.6470588235294118,0.6357466063348416,0.6470588235294118,0.6493212669683258,0.6221719457013575
8,0.6368286445012787,0.639386189258312,0.6368286445012787,0.649616368286445,0.6470588235294118,0.6265984654731458
9,0.6449704142011834,0.6390532544378699,0.6301775147928994,0.6597633136094675,0.665680473372781,0.6420118343195266
10,0.6341463414634146,0.6376306620209059,0.6306620209059234,0.6480836236933798,0.6550522648083623,0.6306620209059234
11,0.6458333333333334,0.65,0.6375,0.6541666666666667,0.6708333333333333,0.6458333333333334
12,0.6510416666666666,0.6666666666666666,0.6302083333333334,0.6614583333333334,0.6770833333333334,0.6197916666666666
13,0.6408450704225352,0.647887323943662,0.6338028169014085,0.6549295774647887,0.6690140845070423,0.6056338028169014
14,0.6179775280898876,0.6179775280898876,0.6404494382022472,0.6404494382022472,0.651685393258427,0.5955056179775281
15,0.6341463414634146,0.6585365853658537,0.4634146341463415,0.6097560975609756,0.6585365853658537,0.6341463414634146
