season_week,acc_pred_result_v01_prob1,acc_pred_result_v02_prob1,acc_pred_home_winpct,acc_pred_elo_prob1,acc_pred_carm-elo_prob1,acc_pred_raptor_prob1
0,0.6866913123844732,0.6765249537892791,0.5646950092421442,0.6598890942698706,0.6608133086876156,0.655268022181146
1,0.6866913123844732,0.6765249537892791,0.5646950092421442,0.6598890942698706,0.6608133086876156,0.655268022181146
2,0.6905444126074498,0.6800382043935053,0.5692454632282713,0.6638013371537727,0.6657115568290354,0.6571155682903533
3,0.6973947895791583,0.6813627254509018,0.5701402805611222,0.6653306613226453,0.6643286573146293,0.6583166332665331
4,0.7003154574132492,0.6824395373291272,0.5699263932702419,0.6614090431125131,0.6614090431125131,0.6519453207150369
5,0.7033333333333334,0.6822222222222222,0.5655555555555556,0.6611111111111111,0.6588888888888889,0.6511111111111111
6,0.6969339622641509,0.6757075471698113,0.5601415094339622,0.652122641509434,0.652122641509434,0.6415094339622641
7,0.6933667083854819,0.6708385481852316,0.5469336670838548,0.6458072590738423,0.6458072590738423,0.639549436795995
8,0.6925133689839572,0.6684491978609626,0.5414438502673797,0.6470588235294118,0.6443850267379679,0.643048128342246
9,0.7007194244604317,0.6705035971223021,0.5309352517985612,0.6517985611510791,0.6532374100719425,0.6517985611510791
10,0.7003105590062112,0.672360248447205,0.5232919254658385,0.6459627329192547,0.6475155279503105,0.6475155279503105
11,0.7102177554438861,0.6800670016750419,0.5175879396984925,0.6482412060301508,0.6532663316582915,0.6549413735343383
12,0.7176684881602914,0.6885245901639344,0.5045537340619308,0.6502732240437158,0.6539162112932605,0.6466302367941712
13,0.7214428857715431,0.685370741482966,0.49298597194388777,0.6472945891783567,0.6492985971943888,0.6452905811623246
14,0.726457399103139,0.6838565022421524,0.47757847533632286,0.6434977578475336,0.6434977578475336,0.647982062780269
15,0.7412060301507538,0.6959798994974874,0.4396984924623116,0.6407035175879398,0.6432160804020101,0.6582914572864321
16,0.7550432276657061,0.7002881844380403,0.4322766570605187,0.6426512968299711,0.6397694524495677,0.6657060518731989
17,0.7684563758389261,0.7013422818791947,0.40268456375838924,0.6342281879194631,0.6342281879194631,0.6711409395973155
18,0.7840909090909091,0.7121212121212122,0.38257575757575757,0.6363636363636364,0.6363636363636364,0.6704545454545454
19,0.8057851239669421,0.7272727272727273,0.3512396694214876,0.6487603305785123,0.6446280991735537,0.6611570247933884
20,0.8359788359788359,0.7354497354497355,0.2698412698412698,0.6455026455026455,0.6455026455026455,0.6349206349206349
21,0.8985507246376812,0.7753623188405797,0.13768115942028986,0.6594202898550725,0.6521739130434783,0.6304347826086957
22,0.990990990990991,0.8468468468468469,0.08108108108108109,0.6936936936936937,0.6846846846846847,0.6486486486486487
23,1.0,0.8461538461538461,0.0,0.6307692307692307,0.6153846153846154,0.5846153846153846
24,1.0,0.8,0.0,0.6,0.6,0.6666666666666666
