datetime,season_week,team1,team2,result,pg_score1,pg_score2,elo_prob1,carm-elo_prob1,raptor_prob1,result_v01_prob1,result_v02_prob1
2019-10-27 19:00:00,2,MIN,MIA,1,116.0,109.0,0.6079277350948822,0.6447710265970789,0.8703806200248425,0.5836756,0.5140407
2019-10-27 21:30:00,2,LAL,CHO,1,120.0,101.0,0.6478799073623496,0.6593000630598146,0.9034464460269188,0.59876186,0.679645
2019-10-28 19:00:00,2,DET,IND,1,96.0,94.0,0.6097035888362496,0.6081807811799845,0.4973336370961278,0.67105865,0.6452048
2019-10-28 19:00:00,2,NYK,CHI,1,105.0,98.0,0.5693764410936117,0.5425717524462143,0.3951873309258216,0.4676187,0.47846276
2019-10-28 19:30:00,2,ATL,PHI,0,103.0,105.0,0.4371909330171232,0.3645327093755491,0.29573198242945026,0.5430007,0.54708314
2019-10-28 19:30:00,2,TOR,ORL,1,104.0,95.0,0.7945918017770975,0.8254708401526509,0.6921666373411351,0.62443066,0.66069925
2019-10-28 20:00:00,2,HOU,OKC,1,116.0,112.0,0.7574008699490276,0.8317263980929007,0.8415829995520769,0.68715316,0.5877192
2019-10-28 20:00:00,2,MIL,CLE,1,129.0,112.0,0.8989665707547911,0.944335047083918,0.8939806731573771,0.5990959,0.60514045
2019-10-28 20:00:00,2,NOP,GSW,0,123.0,134.0,0.3825762762041133,0.3496621929027503,0.5977727684625349,0.5656205,0.60938346
2019-10-28 20:30:00,2,SAS,POR,1,113.0,110.0,0.5793460942903452,0.610069666371342,0.6509751029524898,0.649323,0.65257925
2019-10-28 22:00:00,2,PHO,UTA,0,95.0,96.0,0.3307984539926264,0.2550879705611918,0.4946679495075126,0.5802786,0.5647785
2019-10-28 22:00:00,2,SAC,DEN,0,94.0,101.0,0.3986886839069239,0.3609838444473933,0.39587025582025615,0.4516276,0.44459417
2019-10-28 22:30:00,2,LAC,CHO,1,111.0,96.0,0.7352328250920666,0.7835527358015917,0.8976934089663654,0.7383781,0.7713702
2019-10-29 19:30:00,2,MIA,ATL,1,112.0,97.0,0.7217089327798939,0.7912429399608147,0.8029352113047558,0.66577786,0.58171844
