season_week,acc_pred_result_v01_prob1,acc_pred_result_v02_prob1,acc_pred_home_winpct,acc_pred_elo_prob1,acc_pred_carm-elo_prob1,acc_pred_raptor_prob1
0,,,,,,
1,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.5428571428571428,0.5142857142857142,0.6
2,0.5595238095238095,0.6190476190476191,0.5,0.5952380952380952,0.6190476190476191,0.6190476190476191
3,0.5877862595419847,0.6335877862595419,0.5267175572519084,0.648854961832061,0.6564885496183206,0.6793893129770993
4,0.6043956043956044,0.6483516483516484,0.5604395604395604,0.6538461538461539,0.6703296703296703,0.6758241758241759
5,0.6495726495726496,0.6794871794871795,0.5811965811965812,0.688034188034188,0.6923076923076923,0.7051282051282052
6,0.6678445229681979,0.6925795053003534,0.6148409893992933,0.6996466431095406,0.7031802120141343,0.6996466431095406
7,0.6736526946107785,0.6946107784431138,0.6167664670658682,0.688622754491018,0.6976047904191617,0.6826347305389222
8,0.661498708010336,0.6873385012919897,0.6253229974160207,0.6744186046511628,0.6744186046511628,0.661498708010336
9,0.6666666666666666,0.682648401826484,0.6255707762557078,0.680365296803653,0.680365296803653,0.6666666666666666
10,0.6577319587628866,0.6721649484536083,0.622680412371134,0.6742268041237114,0.6701030927835051,0.6556701030927835
11,0.6547842401500938,0.6641651031894934,0.626641651031895,0.6697936210131332,0.6679174484052532,0.6641651031894934
12,0.6569468267581475,0.6689536878216124,0.6260720411663808,0.6706689536878216,0.6706689536878216,0.6638078902229846
13,0.6588050314465409,0.6713836477987422,0.6257861635220126,0.6713836477987422,0.6729559748427673,0.660377358490566
14,0.6549707602339181,0.6652046783625731,0.6374269005847953,0.6710526315789473,0.6710526315789473,0.6535087719298246
15,0.654421768707483,0.6653061224489796,0.6272108843537415,0.6680272108843538,0.6707482993197279,0.6503401360544218
16,0.6556122448979592,0.6670918367346939,0.6262755102040817,0.6696428571428571,0.6709183673469388,0.6492346938775511
17,0.6552567237163814,0.6650366748166259,0.6234718826405868,0.6674816625916871,0.6687041564792175,0.6503667481662592
18,0.6523809523809524,0.6619047619047619,0.6261904761904762,0.6630952380952381,0.6654761904761904,0.6535714285714286
19,0.6550951847704367,0.6640537513997761,0.6270996640537514,0.6629339305711086,0.6640537513997761,0.6595744680851063
20,0.6557203389830508,0.6620762711864406,0.6271186440677966,0.659957627118644,0.6620762711864406,0.6588983050847458
21,0.6519052523171988,0.6570545829042225,0.619979402677652,0.6560247167868177,0.6580844490216272,0.6560247167868177
22,0.6666666666666666,0.6656833824975418,0.6007866273352999,0.6617502458210422,0.6637168141592921,0.6597836774827925
23,0.6822867853795689,0.6747891283973758,0.5726335520149953,0.6607310215557638,0.6616682286785379,0.6551077788191191
24,0.6843575418994413,0.6769087523277467,0.568901303538175,0.660148975791434,0.6610800744878957,0.6554934823091247
